"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PAFAH2",1.69496780588235,4.58155102272727,17.0143244103296,1.0391304547944e-20,3.39850796252106e-20,36.7238970527338
"C8orf44",0.945414264705882,4.06508890909091,17.014089420018,1.03966950889842e-20,3.3997158998128e-20,36.7233714664693
"SLFNL1-AS1",1.51895901176471,3.185831,16.9972272417272,1.07910444011448e-20,3.52809207513846e-20,36.6856427564919
"UPB1",1.58227270588235,4.83485640909091,16.9920167662877,1.09159598476565e-20,3.56835032095715e-20,36.6739787523121
"ZNF7",1.86414443529412,4.88860725,16.990138000142,1.09613621273113e-20,3.58260737696689e-20,36.6697723466437
"HOXB7",2.618968,6.76828575,16.988568421129,1.09994402286258e-20,3.59446634029091e-20,36.6662579178699
"TBXAS1",1.28780457058824,3.24706665909091,16.9873412299039,1.10293059356651e-20,3.60363817490203e-20,36.6635099561479
"EMC2",1.84687991764706,4.80736472727273,16.9857554528321,1.10680209429885e-20,3.61569790492409e-20,36.6599588177096
"ST6GAL1",2.9786117,5.38613222727273,16.9852223400893,1.10810674131144e-20,3.61936967910496e-20,36.6587649261157
"SMLR1",1.29768724705882,3.34187559090909,16.9798817710227,1.12126319677746e-20,3.66174508605252e-20,36.6468033112352
"PRXL2C",1.56779336470588,5.11980761363636,16.9761248885095,1.13061361254083e-20,3.69167919909011e-20,36.6383870864133
"SLC37A4",1.66990680588235,5.47425818181818,16.9696347672188,1.14695450674852e-20,3.74442514328331e-20,36.6238445210912
"JADE3",1.27723208235294,4.21298488636364,16.9681188354973,1.15080591504028e-20,3.75638652274514e-20,36.6204471357343
"SLC51B",1.78532575882353,5.69810168181818,16.9661274634314,1.1558852899283e-20,3.77221915960511e-20,36.6159838848654
"IL21R",1.39400087647059,4.90856290909091,16.966069680112,1.15603301821165e-20,3.77221915960511e-20,36.6158543695661
"MRPL28",1.6206323,5.68785454545454,16.9608539561713,1.16944711685858e-20,3.81536883467606e-20,36.6041625020254
"ZG16",2.7794226,12.2559769090909,16.959681233178,1.17248499001487e-20,3.82465711121606e-20,36.6015332867155
"CFHR3",1.13141351764706,4.28903345454545,16.954423755353,1.18620343007611e-20,3.86877680092554e-20,36.5897444760507
"ASH1L",1.91835757647059,9.11833206818182,16.9528014630797,1.19046947490174e-20,3.88205836256417e-20,36.5861062657528
"CANT1",1.04863250588235,5.34987034090909,16.9513012695217,1.19442836909215e-20,3.89433416172753e-20,36.5827416457437
"RORA-AS1",1.59572524117647,3.14267572727273,16.9508606882634,1.19559357759048e-20,3.89749886839586e-20,36.5817534717723
"RALGAPA2",1.31966952352941,5.92762238636363,16.9500583789513,1.19771842961411e-20,3.90379036479498e-20,36.5799539331276
"P3H1",7.10449854705882,10.7250899545455,16.9462992398201,1.20772562589487e-20,3.93576699819846e-20,36.5715215250695
"UNC13C",1.31114418235294,3.42479736363637,16.9437946247325,1.2144404547706e-20,3.95700572380686e-20,36.56590245495
"DENND5A",4.85656856470588,4.82727754545455,16.9428755017341,1.21691414705592e-20,3.96442091296538e-20,36.5638402585545
"ELL",2.86470505882353,4.60090761363636,16.9407146527167,1.22275003553415e-20,3.9827851563935e-20,36.5589917246236
"HIKESHI",2.09487258823529,6.02544259090909,16.9400038982509,1.22467582963296e-20,3.98840939996869e-20,36.5573968254405
"CRCP",1.29530949411765,3.9904845,16.9388378320332,1.22784199716671e-20,3.99807069038418e-20,36.5547801195866
"SMYD4",2.10227269411765,5.27766211363637,16.9381930643694,1.22959628906668e-20,4.00313227085709e-20,36.5533331734631
"UBE2O",1.07074074117647,3.81998184090909,16.9346832614241,1.23919073652758e-20,4.03371284272352e-20,36.5454559745325
"PRKG2",2.11939034117647,5.49526204545455,16.9308635792685,1.24971907136335e-20,4.06732289805858e-20,36.5368819086049
"LINC02716",1.08501371764706,3.68764904545455,16.9292719976969,1.25413289271151e-20,4.08102503359274e-20,36.5333088465664
"NEFH",1.15789900588235,3.15364240909091,16.9290678486153,1.25470019432471e-20,4.08220794099604e-20,36.5328505185945
"MRTFB",1.13486728823529,3.10652334090909,16.9241102385012,1.26855734006347e-20,4.12662238326591e-20,36.5217190883542
"ANKS6",1.39370465294118,4.89856172727273,16.9239122671293,1.26911392476904e-20,4.12776264669158e-20,36.5212745281321
"LNX2",1.82068185294118,4.57520927272727,16.921893157848,1.27480477371878e-20,4.14559890050887e-20,36.5167402373498
"NAP1L5",1.40109895882353,5.33042686363636,16.9191438520329,1.28259555070484e-20,4.17025711276082e-20,36.5105655001149
"RPPH1",1.30271562352941,2.93022613636364,16.917521915552,1.28721442940307e-20,4.18459582112988e-20,36.506922398041
"DNPH1",1.09792626470588,3.76408615909091,16.9125035356172,1.30161328300182e-20,4.23071836525921e-20,36.4956487377311
"SYP",1.79292731764706,4.12666740909091,16.9105886330869,1.30715077195178e-20,4.2480279467453e-20,36.4913462978439
"MTX2",3.28327244117647,5.96083813636364,16.9082301253811,1.31400410658053e-20,4.26960750413968e-20,36.4860466553753
"CPOX",1.85606960588235,5.85701113636364,16.9077703687333,1.31534432640004e-20,4.27326914473657e-20,36.4850135029066
"AQP7",3.14800471764706,4.75624670454545,16.9062633290774,1.31974722539409e-20,4.28687796644955e-20,36.4816267772847
"PTPRD",1.54631147058823,4.61993668181818,16.8981659599989,1.34366280757643e-20,4.36385430631826e-20,36.4634259247705
"INTS3",4.05590957058823,5.22187911363636,16.8968569741041,1.34757019666474e-20,4.37583501046978e-20,36.4604830395702
"HOXA3",1.13525303529412,4.59803504545454,16.8930609677591,1.35896712850181e-20,4.41212796080198e-20,36.4519478251103
"ITPKC",1.19901267058823,3.52584636363636,16.8928857593632,1.35949553221967e-20,4.41312826145269e-20,36.4515538392283
"FANCC",1.50941148823529,4.03723979545455,16.8917055484818,1.36306034502233e-20,4.42398328442761e-20,36.448899854544
