"source","target","relation","logFC","p.adjust"
"NDUFAF1","GO:0006091","enriched_in_go",2.25341222941176,8.41408233956214e-05
"GPI","GO:0006091","enriched_in_go",1.1524201,8.41408233956214e-05
"COL6A1","GO:0006091","enriched_in_go",4.05407347058823,8.41408233956214e-05
"CCNB1","GO:0006091","enriched_in_go",1.37300821176471,8.41408233956214e-05
"PGD","GO:0006091","enriched_in_go",1.3744324,8.41408233956214e-05
"FBP1","GO:0006091","enriched_in_go",5.97974132352941,8.41408233956214e-05
"CISD1","GO:0006091","enriched_in_go",1.16917570588235,8.41408233956214e-05
"AKT1","GO:0006091","enriched_in_go",1.12482194117647,8.41408233956214e-05
"ZBTB20","GO:0006091","enriched_in_go",4.42974914117647,8.41408233956214e-05
"CAVIN3","GO:0006091","enriched_in_go",1.72674478235294,8.41408233956214e-05
"NDUFA5","GO:0006091","enriched_in_go",2.91324327647059,8.41408233956214e-05
"ACADVL","GO:0006091","enriched_in_go",2.12633583529411,8.41408233956214e-05
"PDIA5","GO:0006091","enriched_in_go",1.39523851176471,8.41408233956214e-05
"ASIP","GO:0006091","enriched_in_go",1.68137133529412,8.41408233956214e-05
"IL10RB","GO:0006091","enriched_in_go",2.5732353117647,8.41408233956214e-05
"CXXC5","GO:0006091","enriched_in_go",5.8128683117647,8.41408233956214e-05
"HK1","GO:0006091","enriched_in_go",1.46593558823529,8.41408233956214e-05
"ABCD1","GO:0006091","enriched_in_go",1.30576511176471,8.41408233956214e-05
"SLC25A23","GO:0006091","enriched_in_go",1.66074763529412,8.41408233956214e-05
"SLC25A25","GO:0006091","enriched_in_go",2.62399118235294,8.41408233956214e-05
"MTLN","GO:0006091","enriched_in_go",2.32073903529412,8.41408233956214e-05
"OAS1","GO:0006091","enriched_in_go",2.23466178235294,8.41408233956214e-05
"PPP1R3E","GO:0006091","enriched_in_go",4.2997894117647,8.41408233956214e-05
"NDUFA1","GO:0006091","enriched_in_go",6.76546610588235,8.41408233956214e-05
"ETFRF1","GO:0006091","enriched_in_go",3.72793291764706,8.41408233956214e-05
"ARNT","GO:0006091","enriched_in_go",4.81101528235294,8.41408233956214e-05
"SLC27A5","GO:0006091","enriched_in_go",1.66070474117647,8.41408233956214e-05
"PIK3CA","GO:0006091","enriched_in_go",1.85342535294117,8.41408233956214e-05
"WDR45","GO:0006091","enriched_in_go",-1.53552982352941,8.41408233956214e-05
"GIT1","GO:0006091","enriched_in_go",1.40290073529412,8.41408233956214e-05
"AACS","GO:0006091","enriched_in_go",2.78048772352941,8.41408233956214e-05
"OXCT1","GO:0006091","enriched_in_go",1.98646668823529,8.41408233956214e-05
"GYS1","GO:0006091","enriched_in_go",2.52762818235294,8.41408233956214e-05
"COX8C","GO:0006091","enriched_in_go",4.01735722941176,8.41408233956214e-05
"SLC25A4","GO:0006091","enriched_in_go",1.41247815294118,8.41408233956214e-05
"IDH3B","GO:0006091","enriched_in_go",3.53274298235294,8.41408233956214e-05
"DNAJC30","GO:0006091","enriched_in_go",2.86348381764706,8.41408233956214e-05
"KGD4","GO:0006091","enriched_in_go",1.65517029411765,8.41408233956214e-05
"MFN2","GO:0006091","enriched_in_go",5.24366417058823,8.41408233956214e-05
"TEFM","GO:0006091","enriched_in_go",-3.94672594117647,8.41408233956214e-05
"FXN","GO:0006091","enriched_in_go",1.44411674117647,8.41408233956214e-05
"COX5B","GO:0006091","enriched_in_go",2.02383203529412,8.41408233956214e-05
"ACADM","GO:0006091","enriched_in_go",1.33231338235294,8.41408233956214e-05
"FDX2","GO:0006091","enriched_in_go",1.46279422352941,8.41408233956214e-05
"PRKAG1","GO:0006091","enriched_in_go",2.33091629411765,8.41408233956214e-05
"MT-ND4","GO:0006091","enriched_in_go",4.17326828823529,8.41408233956214e-05
"SUCLG1","GO:0006091","enriched_in_go",-2.0354524117647,8.41408233956214e-05
"ATP5F1B","GO:0006091","enriched_in_go",1.64296394117647,8.41408233956214e-05
"PRKAA2","GO:0006091","enriched_in_go",-2.73237544117647,8.41408233956214e-05
"MTOR","GO:0006091","enriched_in_go",2.21514166470588,8.41408233956214e-05
"NDUFB5","GO:0006091","enriched_in_go",1.74416824117647,8.41408233956214e-05
"ATPSCKMT","GO:0006091","enriched_in_go",1.34011835882353,8.41408233956214e-05
"PPP1CC","GO:0006091","enriched_in_go",2.86236340588235,8.41408233956214e-05
"COQ9","GO:0006091","enriched_in_go",1.2069384,8.41408233956214e-05
"SELENOS","GO:0006091","enriched_in_go",1.96475580588235,8.41408233956214e-05
"SDHC","GO:0006091","enriched_in_go",3.31291438235294,8.41408233956214e-05
"ALDOB","GO:0006091","enriched_in_go",4.42357254117647,8.41408233956214e-05
"COMT","GO:0006091","enriched_in_go",2.92085882941176,8.41408233956214e-05
"H6PD","GO:0006091","enriched_in_go",1.47770142941177,8.41408233956214e-05
"PHLDA2","GO:0006091","enriched_in_go",1.29683070588235,8.41408233956214e-05
"UQCC2","GO:0006091","enriched_in_go",2.89567851176471,8.41408233956214e-05
"NDUFS8","GO:0006091","enriched_in_go",2.10983524117647,8.41408233956214e-05
"COX6A2","GO:0006091","enriched_in_go",3.56461748235294,8.41408233956214e-05
"GRB10","GO:0006091","enriched_in_go",1.70960969411765,8.41408233956214e-05
"HCCS","GO:0006091","enriched_in_go",1.21120623529412,8.41408233956214e-05
"COX7A2","GO:0006091","enriched_in_go",1.94073794117647,8.41408233956214e-05
"CEBPA","GO:0006091","enriched_in_go",1.08526074705882,8.41408233956214e-05
"G6PD","GO:0006091","enriched_in_go",2.31755266470588,8.41408233956214e-05
"P2RX7","GO:0006091","enriched_in_go",2.85008576470588,8.41408233956214e-05
"NDP","GO:0006091","enriched_in_go",1.09502517647059,8.41408233956214e-05
"NDUFA6","GO:0006091","enriched_in_go",2.3712292,8.41408233956214e-05
"HK3","GO:0006091","enriched_in_go",1.30039827058823,8.41408233956214e-05
"ETFDH","GO:0006091","enriched_in_go",-1.55841554705882,8.41408233956214e-05
"SLC25A33","GO:0006091","enriched_in_go",1.88676792941176,8.41408233956214e-05
"ALDH1L1","GO:0006091","enriched_in_go",1.39587117058824,8.41408233956214e-05
"LEPR","GO:0006091","enriched_in_go",1.03744185294118,8.41408233956214e-05
"AIFM2","GO:0006091","enriched_in_go",2.58814451764706,8.41408233956214e-05
"PANK2","GO:0006091","enriched_in_go",4.56586592941176,8.41408233956214e-05
"PASK","GO:0006091","enriched_in_go",1.15867104117647,8.41408233956214e-05
"WDR45B","GO:0006091","enriched_in_go",1.46688268823529,8.41408233956214e-05
"IFNG","GO:0006091","enriched_in_go",1.43195477647059,8.41408233956214e-05
"DLAT","GO:0006091","enriched_in_go",1.39529419411765,8.41408233956214e-05
"CHCHD2","GO:0006091","enriched_in_go",1.13055668235294,8.41408233956214e-05
"TIGAR","GO:0006091","enriched_in_go",-1.16107694117647,8.41408233956214e-05
"CDK1","GO:0006091","enriched_in_go",1.71479111764706,8.41408233956214e-05
"COX4I2","GO:0006091","enriched_in_go",1.48452452352941,8.41408233956214e-05
"COX7C","GO:0006091","enriched_in_go",1.88737652352941,8.41408233956214e-05
"OXA1L","GO:0006091","enriched_in_go",3.04360353529412,8.41408233956214e-05
"ATP5PF","GO:0006091","enriched_in_go",1.19276062941176,8.41408233956214e-05
"DERA","GO:0006091","enriched_in_go",1.8199821117647,8.41408233956214e-05
"ATP5PB","GO:0006091","enriched_in_go",1.60368503529412,8.41408233956214e-05
"STOML2","GO:0006091","enriched_in_go",2.40934186470588,8.41408233956214e-05
"MDH1","GO:0006091","enriched_in_go",2.17557412941176,8.41408233956214e-05
"NOP53","GO:0006091","enriched_in_go",-1.211564,8.41408233956214e-05
"NNT","GO:0006091","enriched_in_go",2.06815519411765,8.41408233956214e-05
"PPP1R3A","GO:0006091","enriched_in_go",-1.34815907058823,8.41408233956214e-05
"INS","GO:0006091","enriched_in_go",1.73218463529412,8.41408233956214e-05
"ARL2","GO:0006091","enriched_in_go",1.79227032941176,8.41408233956214e-05
"STAT3","GO:0006091","enriched_in_go",-1.14073284117647,8.41408233956214e-05
"NDUFB10","GO:0006091","enriched_in_go",2.52471487058823,8.41408233956214e-05
"DHRS2","GO:0006091","enriched_in_go",1.19784318823529,8.41408233956214e-05
"FDX1","GO:0006091","enriched_in_go",3.48805969411765,8.41408233956214e-05
"NDUFB3","GO:0006091","enriched_in_go",1.9628821,8.41408233956214e-05
"MT-CO2","GO:0006091","enriched_in_go",1.78242247058823,8.41408233956214e-05
"GALK1","GO:0006091","enriched_in_go",3.47658303529411,8.41408233956214e-05
"UQCRB","GO:0006091","enriched_in_go",-1.31917254117647,8.41408233956214e-05
"ADGRF1","GO:0006091","enriched_in_go",-1.70987338823529,8.41408233956214e-05
"MT-ND6","GO:0006091","enriched_in_go",1.07433592941176,8.41408233956214e-05
"TP53","GO:0006091","enriched_in_go",2.26488482352941,8.41408233956214e-05
"SUCLG2","GO:0006091","enriched_in_go",1.08962878823529,8.41408233956214e-05
"COX7B","GO:0006091","enriched_in_go",3.56096644705883,8.41408233956214e-05
"HMGCL","GO:0006091","enriched_in_go",1.06791506470588,8.41408233956214e-05
"GYS2","GO:0006091","enriched_in_go",-1.04872658823529,8.41408233956214e-05
"GCK","GO:0006091","enriched_in_go",1.02653110588235,8.41408233956214e-05
"PHKB","GO:0006091","enriched_in_go",-1.98259509411765,8.41408233956214e-05
"PFKFB3","GO:0006091","enriched_in_go",1.03577743529412,8.41408233956214e-05
"NR1D1","GO:0006091","enriched_in_go",2.78095984117647,8.41408233956214e-05
"NDUFA13","GO:0006091","enriched_in_go",1.08780301176471,8.41408233956214e-05
"CYC1","GO:0006091","enriched_in_go",-1.08291475294118,8.41408233956214e-05
"HK2","GO:0006091","enriched_in_go",1.77866715294118,8.41408233956214e-05
"MCHR1","GO:0006091","enriched_in_go",-1.0217143,8.41408233956214e-05
"HTR2A","GO:0006091","enriched_in_go",3.85820867647058,8.41408233956214e-05
"PARK7","GO:0006091","enriched_in_go",1.11174498823529,8.41408233956214e-05
"OGT","GO:0006091","enriched_in_go",1.67254407647059,8.41408233956214e-05
"APP","GO:0006091","enriched_in_go",-1.12559532352941,8.41408233956214e-05
"TRAP1","GO:0006091","enriched_in_go",1.29673704705882,8.41408233956214e-05
"NDUFA4","GO:0006091","enriched_in_go",1.24781449411765,8.41408233956214e-05
"PGAM2","GO:0006091","enriched_in_go",-1.10202084117647,8.41408233956214e-05
"HKDC1","GO:0006091","enriched_in_go",1.43249648235294,8.41408233956214e-05
"ENPP1","GO:0006091","enriched_in_go",2.2081364,8.41408233956214e-05
"SORBS1","GO:0006091","enriched_in_go",1.63905981764706,8.41408233956214e-05
"NR4A3","GO:0006091","enriched_in_go",1.77967782941176,8.41408233956214e-05
"AVPR1A","GO:0006091","enriched_in_go",1.60105003529412,8.41408233956214e-05
"COX6B1","GO:0006091","enriched_in_go",-1.15436675294118,8.41408233956214e-05
"NDUFAB1","GO:0006091","enriched_in_go",-1.60096888823529,8.41408233956214e-05
"GSK3A","GO:0006091","enriched_in_go",2.19785015882353,8.41408233956214e-05
"NIPSNAP2","GO:0006091","enriched_in_go",1.32373587647059,8.41408233956214e-05
"LDHA","GO:0006091","enriched_in_go",1.73647848823529,8.41408233956214e-05
"GSK3B","GO:0006091","enriched_in_go",2.43232684705882,8.41408233956214e-05
"ENO3","GO:0006091","enriched_in_go",1.12244297647059,8.41408233956214e-05
"THTPA","GO:0006091","enriched_in_go",1.12827469411765,8.41408233956214e-05
"NOS2","GO:0006091","enriched_in_go",-1.07761247058823,8.41408233956214e-05
"ENO2","GO:0006091","enriched_in_go",2.04868293529412,8.41408233956214e-05
"PGM1","GO:0006091","enriched_in_go",1.21557017647059,8.41408233956214e-05
"UQCRC2","GO:0006091","enriched_in_go",1.14396145882353,8.41408233956214e-05
"DLD","GO:0006091","enriched_in_go",1.38713144117647,8.41408233956214e-05
"LMOD3","GO:0140694","enriched_in_go",2.33497271764706,8.41408233956214e-05
"CCDC57","GO:0140694","enriched_in_go",2.59787320588235,8.41408233956214e-05
"TPM1","GO:0140694","enriched_in_go",1.79866222941176,8.41408233956214e-05
"ACTC1","GO:0140694","enriched_in_go",2.51817920588235,8.41408233956214e-05
"RPSA","GO:0140694","enriched_in_go",2.23914744705882,8.41408233956214e-05
"CDS2","GO:0140694","enriched_in_go",3.08442562941176,8.41408233956214e-05
"SMC3","GO:0140694","enriched_in_go",2.36474048823529,8.41408233956214e-05
"AURKA","GO:0140694","enriched_in_go",1.66232618235294,8.41408233956214e-05
"CDC20","GO:0140694","enriched_in_go",1.88356338823529,8.41408233956214e-05
"MCAT","GO:0140694","enriched_in_go",1.57065305294118,8.41408233956214e-05
"TIA1","GO:0140694","enriched_in_go",1.84734677058823,8.41408233956214e-05
"DDX3X","GO:0140694","enriched_in_go",3.03042288823529,8.41408233956214e-05
"VIL1","GO:0140694","enriched_in_go",2.0096137,8.41408233956214e-05
